fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,1.1337490762166182,"{""formation"": 252, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.5034340825288433,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.9542278422973234,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,2.20301337439412,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,2.6001104485438917,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,2.260557336115848,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.643477094648908,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,2.515594247436216,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.7027046803663242,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.82116399618282,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.0152552767942287,"{""formation"": 252, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
